id,log,seen,semantic_template,template,valid,predict
312,data_thread() got not answer from any [Thunderbird_C8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
313,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
314,data_thread() got not answer from any [Thunderbird_B4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
315,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,False,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,True,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
316,data_thread() got not answer from any [Thunderbird_A8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
317,data_thread() got not answer from any [Thunderbird_D5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
318,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
319,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
320,[ib_sm_sweep.c:1455]: No topology change,False,[ib_sm_sweep.c:{line_number}]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,True,[ib_sm_sweep.c:<*>]: No topology change
321,[ib_sm_sweep.c:1482]: No configuration change required,False,[ib_sm_sweep.c:{line_number}]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,True,[ib_sm_sweep.c:<*>]: No configuration change required
322,data_thread() got not answer from any [Thunderbird_C4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
323,data_thread() got not answer from any [Thunderbird_C5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
324,data_thread() got not answer from any [Thunderbird_B3] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
325,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
326,data_thread() got not answer from any [Thunderbird_A6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
327,data_thread() got not answer from any [Thunderbird_A1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
328,data_thread() got not answer from any [Thunderbird_C2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
329,data_thread() got not answer from any [Thunderbird_C1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
330,"synchronized to 10.100.14.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
331,data_thread() got not answer from any [Thunderbird_A5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
332,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,False,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,True,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
333,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
334,data_thread() got not answer from any [Thunderbird_B5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
335,data_thread() got not answer from any [Thunderbird_B6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
336,data_thread() got not answer from any [Thunderbird_B1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
337,[ib_sm_sweep.c:1455]: No topology change,False,[ib_sm_sweep.c:{line_number}]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,True,[ib_sm_sweep.c:<*>]: No topology change
338,[ib_sm_sweep.c:1482]: No configuration change required,False,[ib_sm_sweep.c:{line_number}]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,True,[ib_sm_sweep.c:<*>]: No configuration change required
339,data_thread() got not answer from any [Thunderbird_A2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
340,data_thread() got not answer from any [Thunderbird_A3] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
341,data_thread() got not answer from any [Thunderbird_D4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
342,data_thread() got not answer from any [Thunderbird_D6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
343,data_thread() got not answer from any [Thunderbird_A7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
344,data_thread() got not answer from any [Thunderbird_B2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
345,data_thread() got not answer from any [Thunderbird_B7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
346,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
347,data_thread() got not answer from any [Thunderbird_C6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
348,data_thread() got not answer from any [Thunderbird_D7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
349,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
350,data_thread() got not answer from any [Thunderbird_A4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
351,data_thread() got not answer from any [Thunderbird_B4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
352,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
353,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,False,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,True,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
354,data_thread() got not answer from any [Thunderbird_A8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
355,data_thread() got not answer from any [Thunderbird_B8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
356,data_thread() got not answer from any [Thunderbird_D8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
357,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
358,data_thread() got not answer from any [Thunderbird_C8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
359,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
360,data_thread() got not answer from any [Thunderbird_D5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
361,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
362,data_thread() got not answer from any [Thunderbird_B3] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
363,[ib_sm_sweep.c:1455]: No topology change,False,[ib_sm_sweep.c:{line_number}]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,True,[ib_sm_sweep.c:<*>]: No topology change
364,[ib_sm_sweep.c:1482]: No configuration change required,False,[ib_sm_sweep.c:{line_number}]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,True,[ib_sm_sweep.c:<*>]: No configuration change required
365,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
366,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
367,data_thread() got not answer from any [Thunderbird_A6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
368,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
369,"synchronized to 10.100.24.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
370,data_thread() got not answer from any [Thunderbird_C4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
371,data_thread() got not answer from any [Thunderbird_C5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
372,data_thread() got not answer from any [Thunderbird_C1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
373,data_thread() got not answer from any [Thunderbird_B6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
374,"synchronized to 10.100.28.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
375,data_thread() got not answer from any [Thunderbird_A5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
376,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,False,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,True,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
377,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
378,data_thread() got not answer from any [Thunderbird_C2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
379,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
380,data_thread() got not answer from any [Thunderbird_A1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
381,"synchronized to 10.100.12.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
382,data_thread() got not answer from any [Thunderbird_B5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
383,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
384,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
385,[ib_sm_sweep.c:1455]: No topology change,False,[ib_sm_sweep.c:{line_number}]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,True,[ib_sm_sweep.c:<*>]: No topology change
386,[ib_sm_sweep.c:1482]: No configuration change required,False,[ib_sm_sweep.c:{line_number}]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,True,[ib_sm_sweep.c:<*>]: No configuration change required
387,data_thread() got not answer from any [Thunderbird_D4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
388,data_thread() got not answer from any [Thunderbird_D6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
389,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
390,"synchronized to 10.100.28.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
391,data_thread() got not answer from any [Thunderbird_A2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
392,data_thread() got not answer from any [Thunderbird_B1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
393,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
394,data_thread() got not answer from any [Thunderbird_A3] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
395,data_thread() got not answer from any [Thunderbird_C6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
396,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
397,data_thread() got not answer from any [Thunderbird_A4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
398,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
399,"synchronized to 10.100.14.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
400,data_thread() got not answer from any [Thunderbird_A8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
401,data_thread() got not answer from any [Thunderbird_B7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
402,data_thread() got not answer from any [Thunderbird_D8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
403,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
404,RRD_update (/var/lib/ganglia/rrds/C Nodes/cn304/pkts_out.rrd): illegal attempt to update using time 1131563037 when last update time is 1131563037 (minimum one second step),False,RRD_update ({file_path}): illegal attempt to update using time {update_time} when last update time is {last_update_time} (minimum one second step),RRD_update (<*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),True,RRD_update (<*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step)
405,data_thread() got not answer from any [Thunderbird_A7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
406,data_thread() got not answer from any [Thunderbird_B2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
407,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,False,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,True,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
408,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
409,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
410,data_thread() got not answer from any [Thunderbird_D5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
411,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
412,data_thread() got not answer from any [Thunderbird_D7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
413,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
414,data_thread() got not answer from any [Thunderbird_B4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
415,[ib_sm_sweep.c:1455]: No topology change,False,[ib_sm_sweep.c:{line_number}]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,True,[ib_sm_sweep.c:<*>]: No topology change
416,[ib_sm_sweep.c:1482]: No configuration change required,False,[ib_sm_sweep.c:{line_number}]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,True,[ib_sm_sweep.c:<*>]: No configuration change required
417,data_thread() got not answer from any [Thunderbird_B8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
418,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
419,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
420,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
421,"synchronized to 10.100.30.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
422,data_thread() got not answer from any [Thunderbird_B3] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
423,data_thread() got not answer from any [Thunderbird_C5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
424,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
425,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
426,data_thread() got not answer from any [Thunderbird_C4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
427,data_thread() got not answer from any [Thunderbird_C8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
428,data_thread() got not answer from any [Thunderbird_A6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
429,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
430,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
431,data_thread() got not answer from any [Thunderbird_B6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
432,"synchronized to 10.100.28.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
433,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
434,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
435,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
436,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,False,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,True,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
437,data_thread() got not answer from any [Thunderbird_A1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
438,data_thread() got not answer from any [Thunderbird_C1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
439,data_thread() got not answer from any [Thunderbird_C2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
440,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
441,data_thread() got not answer from any [Thunderbird_A2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
442,[ib_sm_sweep.c:1455]: No topology change,False,[ib_sm_sweep.c:{line_number}]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,True,[ib_sm_sweep.c:<*>]: No topology change
443,[ib_sm_sweep.c:1482]: No configuration change required,False,[ib_sm_sweep.c:{line_number}]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,True,[ib_sm_sweep.c:<*>]: No configuration change required
444,"synchronized to 10.100.28.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
445,data_thread() got not answer from any [Thunderbird_A5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
446,data_thread() got not answer from any [Thunderbird_D4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
447,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
448,data_thread() got not answer from any [Thunderbird_B1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
449,data_thread() got not answer from any [Thunderbird_B5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
450,data_thread() got not answer from any [Thunderbird_D6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
451,data_thread() got not answer from any [Thunderbird_A3] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
452,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
453,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
454,data_thread() got not answer from any [Thunderbird_D8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
455,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
456,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
457,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
